"","mAUC","mAUC.1","mAUC.2","mAUC.3","mAUC.4","mAUC.5","mAUC.6","mAUC.7","mAUC.8","mAUC.9","sum"
"1",0.447156656514557,0.429286246143674,0.486337173171228,0.423961343380745,0.437764279515146,0.386280769678491,0.427046293977714,0.469781467430277,0.369399685743055,0.496112858738817,0.43731267742937
"2",0.527455864133801,0.668351130648101,0.526491737579481,0.65918461906613,0.397087687298225,0.666465924357144,0.513356522056675,0.59863009235033,0.68350312588247,0.466030870233804,0.570655757360616
"3",0.599397347546287,0.669481587782785,0.552258601395909,0.658181091142814,0.59928851537708,0.678677477962213,0.652742946872,0.594106573541097,0.697931247162719,0.574190143999611,0.627625553278251
"4",0.603316986716223,0.673275341837747,0.577335718297222,0.653820937875855,0.612490807887433,0.674380427145002,0.665201368891115,0.579237831172355,0.70814920163376,0.614269121450564,0.636147774290728
"5",0.587660390426044,0.675803590643779,0.587413383417994,0.673236010464901,0.636739040921654,0.668108668196295,0.674391928550561,0.578221686822877,0.694175544425802,0.622670380397471,0.639842062426738
"6",0.584659818294446,0.68254480923079,0.575783388866709,0.675230744561536,0.624848927631494,0.673653373083125,0.693163395726389,0.540005584142489,0.68777202690365,0.54162822441259,0.627929029285322
"7",0.582045348957258,0.672275308910947,0.586372289556963,0.675163841361873,0.631046104378409,0.678437181409749,0.673447007637411,0.543552907630289,0.696026576805499,0.610824639930799,0.63491912065792
"8",0.576136864202629,0.668440771962334,0.578017226227154,0.679099722766201,0.628702117211418,0.680433378540064,0.676337929343517,0.548219978874741,0.696482843687215,0.609254333426665,0.634112516624194
"9",0.565235520338633,0.659667134015301,0.591746174181458,0.683806615653507,0.633973380493261,0.659416248836911,0.67014544468094,0.54522513421323,0.698938832953868,0.590021042876147,0.629817552824326
"10",0.701328528288251,0.719414187873297,0.67356120640086,0.688928935505619,0.71508413729695,0.698887943076654,0.691723086473853,0.64463118010737,0.735327296841428,0.660010930202258,0.692889743206654
"11",0.694767512389015,0.722793597217752,0.680964470775718,0.691248731863332,0.709756101041369,0.717167196558547,0.690693366303577,0.63429158914278,0.74315148975069,0.652597254882422,0.69374313099252
"12",0.697868422637484,0.710885029832123,0.680350967167932,0.689263444813391,0.709837489100249,0.709790815830704,0.691367639080172,0.530626380894238,0.740790574497235,0.651078051211193,0.681185881506472
"13",0.693027522541125,0.718388645375015,0.677716165861914,0.679333630839478,0.703778678409149,0.711532033768229,0.691931863236092,0.537872502277264,0.739748416537517,0.650501198105954,0.680383065695174
"14",0.696746356425081,0.718252199611432,0.682422561909042,0.675482743863044,0.704141188126326,0.711596492534503,0.684315084929677,0.61670931691765,0.738680306916257,0.649397549426549,0.687774380065956
"15",0.716348638929038,0.76960527994675,0.757605184900613,0.702083863280092,0.737213392023438,0.752520476028318,0.710524732899295,0.703892825648778,0.798316675506149,0.72332495717625,0.737143602633872
"16",0.716827035584004,0.768940489127134,0.758142732911665,0.701969941174516,0.737213392023438,0.748241515145769,0.704138965402112,0.703892825648778,0.799725278665749,0.727623698825823,0.736671587450899
"17",0.709455098423842,0.760238125365643,0.759983217579515,0.701512562275017,0.733186365324226,0.74941740204967,0.715668116940028,0.706585872240634,0.80059635001093,0.725626529064595,0.73622696392741
"18",0.708961538130635,0.763589834763134,0.762739589689122,0.705624893369471,0.73330771035415,0.74938857173069,0.707816608238387,0.706603969223017,0.801280782212451,0.729166498541197,0.736847999625225
"19",0.715039920159681,0.755301022986006,0.767837245988163,0.700084559542599,0.732352644640565,0.753503570976147,0.712229169275072,0.701547824970444,0.79264599561861,0.73228787214792,0.736282982630521
"20",0.715155443423498,0.75671222576499,0.76870286254255,0.697612965915475,0.733049780920002,0.754721851534935,0.712050989107299,0.705791300850825,0.793017589818098,0.736655040863553,0.737347005074123
