"","AUC","AUC.1","AUC.2","AUC.3","AUC.4","AUC.5","AUC.6","AUC.7","AUC.8","AUC.9","sum"
"1",0.583874799018227,0.706349749679787,0.688141107661932,0.60937742300853,0.675871262533231,0.549951053938744,0.675711929369952,0.644477512527054,0.626954828407247,0.599523223256973,0.636023288940168
"2",0.64923855881323,0.777980088981652,0.788495196790873,0.635216725199816,0.75932701112695,0.777478112579902,0.794913888305386,0.729542105781356,0.723712731159339,0.660678728436885,0.729658314717539
"3",0.74504543322511,0.817127542134284,0.808267441654307,0.716527373645713,0.824172992000676,0.878156591367972,0.840598651787269,0.799276895252589,0.817918683996188,0.744519880323301,0.799161148538741
"4",0.757903266941843,0.887917659707421,0.833679162099032,0.745439785816358,0.860331197695185,0.857489584557629,0.844291491437803,0.845014019192519,0.86445616475024,0.82949804338405,0.832602037558208
"5",0.772141510938472,0.869906264461264,0.818712203158193,0.754810735235067,0.867116669258904,0.85563200751278,0.859160935372526,0.856627293624643,0.850803370286225,0.839363383786074,0.834427437363415
"6",0.767471432211905,0.85814242715841,0.826698977345071,0.748890849449264,0.86255985073577,0.851530829852903,0.850894003028152,0.853270933245434,0.856262605232157,0.8426946870557,0.831841659531477
"7",0.764489244718789,0.869522433512189,0.820057191548886,0.779864252485419,0.875197765752373,0.864846809505911,0.853973601883327,0.871144075752299,0.884720352651397,0.865807273344928,0.844962300115552
"8",0.763395973075878,0.880659719260095,0.843330506787245,0.793270292016744,0.872777001109539,0.872024194921221,0.863697685562384,0.861775831018774,0.876168986643879,0.872811013342818,0.849991120373858
"9",0.77340416212373,0.883522775629407,0.841889665875702,0.797337613141122,0.881887751967813,0.866899494163426,0.877344473527359,0.864214365384024,0.86891762160397,0.867408535802715,0.852282645921927
"10",0.80817061766461,0.876485590136522,0.848750381186062,0.802605653090131,0.89173627348048,0.87073000742536,0.864792894562366,0.85340115774051,0.883672418234066,0.86037007039899,0.85607150639191
"11",0.804820604224512,0.882558637616842,0.846826209754143,0.808931328840164,0.891635605090976,0.873822370855147,0.851888504315379,0.851120856244658,0.87676207391525,0.859121680285855,0.854748787114293
"12",0.789291619801368,0.894587808675755,0.843494197903342,0.804449320709726,0.881022097399086,0.880067819216278,0.868231948452135,0.852101791288261,0.867854275318364,0.856874205382932,0.853797508414725
"13",0.780287918938374,0.897688790307243,0.848671886493181,0.815172850502684,0.886700862577944,0.873154502569888,0.887574423911436,0.844456441540104,0.897319263864673,0.870149221946663,0.860117616265219
"14",0.774359715758361,0.902240361378749,0.860302782514407,0.82758859993969,0.887848369392863,0.879662086122296,0.890631743337651,0.844985795797091,0.893939979851959,0.8761874594125,0.863774689350557
"15",0.777053299383012,0.9090362031396,0.856342247231894,0.818576415422663,0.889424797377405,0.879697142792454,0.875679585067554,0.856549797749218,0.888289669074617,0.875858527567381,0.86265076848058
"16",0.766848386879953,0.915133433796503,0.858375002067411,0.81297972967843,0.890621751906094,0.869404843889283,0.877839440151561,0.844961384243723,0.882791365240118,0.869111215744399,0.858806655359748
"17",0.802445781823716,0.913098718636186,0.857714208591542,0.821904712263976,0.894645622717366,0.881951597080951,0.896747281556021,0.837625177105527,0.88280767898958,0.89293675465999,0.868187753342485
"18",0.785227422357231,0.916983793582467,0.848663454441889,0.827061466346048,0.909999395389237,0.880865584390105,0.89738300972239,0.837933911400597,0.886481971268147,0.891724014117587,0.86823240230157
"19",0.798968891080887,0.912009138435252,0.850176228570629,0.837255269312066,0.907299520364459,0.878959616895711,0.885699676191958,0.839051385222773,0.870073419271789,0.885864459260564,0.866535760460609
"20",0.809876518094341,0.905815674956853,0.853684859246072,0.834883639950766,0.906817929195085,0.877915297810867,0.879086990975036,0.838251695113048,0.87448414132511,0.882897785956969,0.866371453262415
